"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","regulation","is_noncoding"
"109729161",5.60756217100476,1.08986930923192,0.211473394994958,5.15369467283535,2.55403669430811e-07,8.30480403549343e-07,"LNCSRLR","Up",FALSE
"100507173",15.7811783785169,1.15336893439779,0.224002892015474,5.14890198077494,2.6201575214433e-07,8.50806575125226e-07,"LINC01012","Up",TRUE
"92235",14.914097187205,-1.44853101570351,0.281693213852243,-5.14222900826894,2.71497889572122e-07,8.80072045243384e-07,"STYXL2","Down",FALSE
"101929667",11.2047530944646,-1.04394312613861,0.203014938154673,-5.14219857724583,2.71541881248648e-07,8.80072045243384e-07,"LOC101929667","Down",TRUE
"101927686",8.93678239987232,1.41300900486227,0.274876946976546,5.14051476635047,2.73986789534108e-07,8.87690830569949e-07,"LINC02541","Up",TRUE
"80133",17.5858246677989,-1.30853545065446,0.254571410199024,-5.14015085052734,2.74517985625792e-07,8.89259034880252e-07,"MROH9","Down",FALSE
"8534",26.0034542418969,1.01748976033869,0.198107961475763,5.13603669816757,2.80592889262738e-07,9.08001672034055e-07,"CHST1","Up",FALSE
"105371887",11.3493436914205,1.06045698135917,0.206532696663672,5.13457190309229,2.82786966786876e-07,9.14160268318412e-07,"LOC105371887","Up",TRUE
"286499",12.3579796606045,1.82036842392335,0.354659657562959,5.13271917204228,2.85585863679686e-07,9.22575443446389e-07,"FAM133A","Up",FALSE
"441459",31.0688803884357,1.48535573894461,0.289393033242883,5.13265893895233,2.85677304556382e-07,9.22712733048052e-07,"ANKRD18B","Up",FALSE
"131368",5.96697133247148,2.08159494738484,0.405601795969344,5.13211471958613,2.8650477604159e-07,9.25226882958564e-07,"ZPLD1","Up",FALSE
"128372",7.08412060802242,-1.68772445598699,0.328874807857668,-5.13181434291377,2.86962481826737e-07,9.26546269888588e-07,"OR6N1","Down",FALSE
"124220",9.29263324622304,1.37647326296287,0.268265666240976,5.13100793795365,2.88194754929496e-07,9.30206422647797e-07,"ZG16B","Up",FALSE
"9271",5.88319061043791,2.02894451520298,0.395662149025886,5.12797223640979,2.92879620380484e-07,9.4451924102519e-07,"PIWIL1","Up",FALSE
"1755",1837.68599627704,-1.24691969553574,0.243179537180323,-5.12756833898866,2.93508453715345e-07,9.46385304924814e-07,"DMBT1","Down",FALSE
"6854",30.855937009389,-1.2667664210488,0.247182458338534,-5.12482329678052,2.97816919228724e-07,9.59457002429792e-07,"SYN2","Down",FALSE
"29881",12.2809120816312,1.62392308879998,0.316900823737451,5.12438897964299,2.98504170768026e-07,9.61506771141225e-07,"NPC1L1","Up",FALSE
"105370503",8.31661052694141,1.69966081118546,0.33184412428928,5.12186501667211,3.02528430839027e-07,9.73471327292741e-07,"LINC02331","Up",TRUE
"123872",213.30088138332,-1.13135452341175,0.220929931444916,-5.12087482222312,3.04121482352922e-07,9.77929781135877e-07,"DNAAF1","Down",FALSE
"26768",2339.81615848863,1.07401663389717,0.209743347072264,5.12062312768917,3.04527704603487e-07,9.79069033917043e-07,"SNORA73B","Up",TRUE
"3226",10.6382827135,2.33422272887748,0.455960334268446,5.11935480664686,3.06582695453304e-07,9.85339849536506e-07,"HOXC10","Up",FALSE
"102723834",9.26452908611017,1.35778271432293,0.265286748453324,5.11817013943997,3.08514236102652e-07,9.91378710285206e-07,"LOC102723834","Up",TRUE
"170572",5.99839523876488,-1.97929440538016,0.386798311705097,-5.11712265923543,3.10231883388597e-07,9.96218991232366e-07,"HTR3C","Down",FALSE
"145837",78.5381159995864,1.43651602669077,0.281240600016714,5.10778325250834,3.25960246943859e-07,1.04441341530125e-06,"DRAIC","Up",FALSE
"164781",20.3387057222275,-1.26179236603167,0.247155926654572,-5.10524826618934,3.30360502233653e-07,1.0579729146613e-06,"DAW1","Down",FALSE
"57540",8.67620400426076,1.62466562027899,0.318391425057982,5.10273045193703,3.34787684385087e-07,1.0719687862962e-06,"DISP3","Up",FALSE
"101928773",2.64606751705149,1.8756404730478,0.368109237373329,5.09533660831652,3.48122154117346e-07,1.11277500365791e-06,"LINC01449","Up",TRUE
"4099",6.0075864722466,-1.81666594158091,0.35711375080848,-5.08707922186729,3.63619970151601e-07,1.15936534707731e-06,"MAG","Down",FALSE
"400655",20.5737778966555,2.30893814938609,0.453920036741807,5.08666276544967,3.64418979741914e-07,1.16152003805145e-06,"LINC02864","Up",TRUE
"55964",30.7864624404263,1.0304805385202,0.202594415173972,5.08642125023684,3.6488312470838e-07,1.16280283132642e-06,"SEPTIN3","Up",FALSE
"89766",14.3603373591533,1.56750082844476,0.308249416407377,5.08517046589695,3.67296030871117e-07,1.16950381185833e-06,"UMODL1","Up",FALSE
"7546",4.463579627994,2.01041769779381,0.395362301797434,5.08500099441413,3.67624143018693e-07,1.1703508896203e-06,"ZIC2","Up",FALSE
"563",198.229316827848,1.41366117602421,0.278200018713039,5.08145607812625,3.74552623904056e-07,1.19120118395128e-06,"AZGP1","Up",FALSE
"353149",8.24015325406769,-1.50252814079817,0.29575115747198,-5.08037957870214,3.7668145259236e-07,1.19736560878836e-06,"TBC1D26","Down",FALSE
"100130111",13.220047381422,1.27679148826566,0.251369718415843,5.07933690785083,3.78754513035735e-07,1.20314386423971e-06,"LCIIAR","Up",FALSE
"83853",19.213356209205,-1.33079537060653,0.26221984584299,-5.07511308432152,3.87265616163375e-07,1.22935151734772e-06,"ROPN1L","Down",FALSE
"8842",144.098811694684,1.46997050301928,0.289862506058501,5.07126817817066,3.95173435400179e-07,1.25339918869441e-06,"PROM1","Up",FALSE
"101929690",6.03125841013083,1.87454077608944,0.37057849316534,5.05841761101092,4.22749826167282e-07,1.33614458889049e-06,"LINC01583","Up",TRUE
"404216",3.83445934386911,1.9198426066109,0.379600375917221,5.05753610483662,4.24708038106082e-07,1.34165895482808e-06,"LINC01561","Up",TRUE
"51308",7.68798651415102,1.13603494473049,0.224729042739303,5.05513186405704,4.30093497465836e-07,1.35821653395702e-06,"REEP2","Up",FALSE
"100216001",7.83918993654054,1.98499669647257,0.392681717260803,5.05497610206848,4.30444664844513e-07,1.35909785066381e-06,"MANCR","Up",FALSE
"100130520",4.44286924550385,-1.53201825402537,0.303229110803956,-5.05234556788925,4.36417186933142e-07,1.3765723984023e-06,"CD300H","Down",FALSE
"3743",10.9739451117752,1.57569742842272,0.312057482157829,5.04938198413646,4.43241659077436e-07,1.39669647310495e-06,"KCNA7","Up",FALSE
"221091",14.6143104971382,-1.07496490735341,0.21289426610466,-5.04929008668066,4.4345491551188e-07,1.3971349468826e-06,"LRRN4CL","Down",FALSE
"139189",8.93786699353495,-1.72285884163953,0.341292765903003,-5.04803797139134,4.46370443462619e-07,1.40561582939715e-06,"DGKK","Down",FALSE
"1770",260.817445733031,-1.45639371168117,0.288987967091452,-5.03963443993598,4.6642189030694e-07,1.46679764769921e-06,"DNAH9","Down",FALSE
